people_ID,Infect_prob
1.0,55.87744385525287
,56.09588322131219
3.0,56.72982060462992
4.0,55.94020244709585
5.0,55.348494783755825
6.0,56.16281750837461
,56.27409964714814
8.0,55.94565522845925
,55.87744385525287
10.0,55.87744385525287
11.0,56.81741184359197
12.0,56.49253901320746
,56.16281750837461
14.0,66.91017317931797
,56.56405226763391
16.0,61.4833846595028
17.0,55.3132200642965
18.0,56.49253901320746
19.0,56.922781539995086
20.0,56.922781539995086
,49.95274835395308
,56.19007304549546
23.0,55.619693969446814
24.0,56.303065454008966
25.0,64.7760662988231
26.0,55.94565522845925
27.0,55.87744385525287
28.0,56.49958039025765
,56.27409964714814
30.0,56.157364727011206
,56.09588322131219
,56.55160417879399
33.0,56.237305164990666
,55.87744385525287
,56.94825997068926
,66.8904454923978
37.0,55.94565522845925
,56.19987868182613
39.0,55.60665692871514
,64.54507660960364
41.0,57.23472504312149
,56.16281750837461
43.0,55.87744385525287
,55.87744385525287
,56.63857876007513
,54.95183899186054
,56.25447120285729
,56.09588322131219
49.0,51.35809105913987
,56.55160417879399
51.0,56.09588322131219
,55.32676547743662
53.0,56.728436771040535
54.0,56.12313875843304
55.0,56.56405226763391
56.0,58.428560255599386
57.0,56.12313875843304
,56.94825997068926
59.0,56.19987868182613
,55.67475499330914
61.0,56.63857876007513
,56.19007304549546
63.0,55.87744385525287
64.0,56.62593895556468
65.0,55.21903403582735
,56.13004798272771
,60.13006219805054
,56.12313875843304
69.0,64.68835438625037
70.0,56.07316716543341
,56.41679555212823
72.0,56.09588322131219
73.0,56.13004798272771
74.0,55.87744385525287
,60.11748699756373
76.0,55.87744385525287
77.0,56.72982060462992
,64.54507660960364
,56.62593895556468
80.0,56.16281750837461
81.0,56.62593895556468
82.0,63.665740588804624
83.0,56.55160417879399
84.0,56.12313875843304
85.0,56.62593895556468
86.0,60.13006219805054
87.0,64.7760662988231
88.0,55.94565522845925
89.0,57.08165991304646
90.0,56.680409808399354
91.0,56.09588322131219
92.0,55.05088222411774
93.0,56.76075947493825
,50.14023837677846
95.0,56.922781539995086
96.0,56.157364727011206
97.0,57.56693608603416
,56.16281750837461
